Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,years_old,price_diff,devaluation_ratio,km_per_year,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
city,2016,8.35,9.4,19434,0,7,-1.0500000000000007,-0.1500000000000001,2776.285714285714,0,0,1
brio,2017,4.8,5.8,19000,0,6,-1.0,-0.16666666666666666,3166.6666666666665,1,0,1
city,2015,6.7,10.0,18828,0,8,-3.3,-0.4125,2353.5,1,0,1
city,2011,4.1,10.0,69341,0,12,-5.9,-0.4916666666666667,5778.416666666667,1,0,1
city,2009,3.0,10.0,69562,0,14,-7.0,-0.5,4968.714285714285,1,0,1
city,2015,7.5,10.0,27600,0,8,-2.5,-0.3125,3450.0,1,0,1
jazz,2010,2.25,7.5,61203,0,13,-5.25,-0.40384615384615385,4707.923076923077,1,0,1
brio,2014,5.3,6.8,16500,0,9,-1.5,-0.16666666666666666,1833.3333333333333,1,0,1
city,2016,10.9,13.6,30753,0,7,-2.6999999999999993,-0.3857142857142856,4393.285714285715,1,0,0
city,2015,8.65,13.6,24800,0,8,-4.949999999999999,-0.6187499999999999,3100.0,1,0,1
city,2015,9.7,13.6,21780,0,8,-3.9000000000000004,-0.48750000000000004,2722.5,1,0,1
jazz,2016,6.0,8.4,4000,0,7,-2.4000000000000004,-0.3428571428571429,571.4285714285714,1,0,1
city,2014,6.25,13.6,40126,0,9,-7.35,-0.8166666666666667,4458.444444444444,1,0,1
brio,2015,5.25,5.9,14465,0,8,-0.6500000000000004,-0.08125000000000004,1808.125,1,0,1
city,2006,2.1,7.6,50456,0,17,-5.5,-0.3235294117647059,2968.0,1,0,1
city,2014,8.25,14.0,63000,0,9,-5.75,-0.6388888888888888,7000.0,0,0,1
city,2016,8.99,11.8,9010,0,7,-2.8100000000000005,-0.4014285714285715,1287.142857142857,1,0,1
brio,2013,3.5,5.9,9800,0,10,-2.4000000000000004,-0.24000000000000005,980.0,1,0,1
jazz,2016,7.4,8.5,15059,0,7,-1.0999999999999996,-0.15714285714285708,2151.285714285714,1,0,0
jazz,2016,5.65,7.9,28569,0,7,-2.25,-0.32142857142857145,4081.285714285714,1,0,1
amaze,2015,5.75,7.5,44000,0,8,-1.75,-0.21875,5500.0,1,0,0
city,2015,8.4,13.6,34000,0,8,-5.199999999999999,-0.6499999999999999,4250.0,1,0,1
city,2016,10.11,13.6,10980,0,7,-3.49,-0.4985714285714286,1568.5714285714287,1,0,1
amaze,2014,4.5,6.4,19000,0,9,-1.9000000000000004,-0.21111111111111114,2111.1111111111113,1,0,1
brio,2015,5.4,6.1,31427,0,8,-0.6999999999999993,-0.08749999999999991,3928.375,1,0,1
jazz,2016,6.4,8.4,12000,0,7,-2.0,-0.2857142857142857,1714.2857142857142,1,0,1
city,2010,3.25,9.9,38000,0,13,-6.65,-0.5115384615384616,2923.076923076923,1,0,1
amaze,2014,3.75,6.8,33019,0,9,-3.05,-0.33888888888888885,3668.777777777778,1,0,1
city,2015,8.55,13.09,60076,0,8,-4.539999999999999,-0.5674999999999999,7509.5,0,0,1
city,2016,9.5,11.6,33988,0,7,-2.0999999999999996,-0.29999999999999993,4855.428571428572,0,0,1
brio,2015,4.0,5.9,60000,0,8,-1.9000000000000004,-0.23750000000000004,7500.0,1,0,1
city,2009,3.35,11.0,87934,0,14,-7.65,-0.5464285714285715,6281.0,1,0,1
city,2017,11.5,12.5,9000,0,6,-1.0,-0.16666666666666666,1500.0,0,0,1
brio,2016,5.3,5.9,5464,0,7,-0.6000000000000005,-0.08571428571428578,780.5714285714286,1,0,1
